sample_name,cluster,CD11b median,CD11c median,CD123 median,CD127 median,CD14 median,CD16 median,CD183_CXCR3 median,CD185_CXCR5 median,CD19 median,CD192_CCR2 median,CD194_CCR4 median,CD195_CCR5 median,CD197_CCR7 median,CD25 median,CD27 median,CD28 median,CD3 median,CD33 median,CD38 median,CD4 median,CD44 median,CD45RA median,CD45RO median,CD56 median,CD57 median,CD8 median,CD80 median,CD86 median,GranzymeB median,HLA-DR median,IFNB median,IFNg median,IL-10 median,IL-17A median,IL-1b median,IL-2 median,Mip1B_CCL4 median,PD-1 median,T-bet median,TGFb median,TNFa median
2248_Unstim,I03,0.443,0.374,0,0,0,0.151,0.0625,0,0,0.899,0,0,0.616,1.34,0.173,0,0,0,2.15,0,3.53,2.75,0,3.93,0,0,0,0,2.44,1.12,0.548,0,0,0,0,0,0.0541,0,1.04,0.347,0.0206
2248_Unstim,I04,0.00000378408,0.201,0,0,0,3.09,0.0659,0,0,0,0,0,0.00000046618,0.0307,0.39,0,0,0,1.76,0,3.12,2.95,0,2.51,0.124,0,0,0,3.36,1.6,0.563,0,0,0,0,0,0.125,0,1.1,0.289,0
2248_Unstim,I05,0.487,0.568,0,0,0,3.03,0.0408,0,0,0,0,0,0.0478,0,0.15,0,0,0,1.82,0.11,2.52,3.11,0,2.1,4.91,0.128,0,0,3.32,1.16,0.368,0.000000219386,0,0,0,0,0.351,0,1.32,0.219,0
2248_Unstim,I06,0.199,0.34,2.81,0,0,0,0,0,0.00699,3.58,0,0,0.0594,2.53,0,0,0,1.49,3.18,0.0688,1.61,0.0178,2.14,0,0.232,0,0,0.37,0,0.483,0.494,0,0.045,0,0,0,0.126,0,0.0797,0.189,0
2248_Unstim,I07,0,0.0000995634,1.14,0,0,0,0,0,0,0,0,0.119,0,3.2,0,0,0,0.848,1.07,0,3.39,0.512,0,0,0,0,0,0,0.00592,5.18,0.438,0,0,0,0,0,0.000025995501,0,0,0.12,0
2248_Unstim,I08,0,0.0749,1.73,0,0,0,0,0,0,0,0,0.0163,0,0.478,0,0,0,1.47,2.09,0,3.33,1.02,0,0,0.0639,0,0,0,0,5.03,0.577,0,0.000000266648,0,0,0,0.012,0,0,0.153,0
2248_Unstim,I09,0.207,0.2,0.000000209522,0,0.798,2.47,1.43,0,0.4,0.531,0.909,0.119,0.457,0.0821,0,0,0.13,0.128,1.52,0,0.803,0,0.756,0.136,0,0,0,0,0,1.92,0.81,0,0.0981,0,0,0,0.0605,0,0,0.429,0
2248_Unstim,I10,0.0187,0.000002136545,0,0,0,0,2.1,0,0,0,0.112,0.0783,0.744,0,0,0.000000500998,0,0,1.64,0,0.285,1.56,0.00000129968,0.243,1.26,0.00001071827,0,0,3.92,0.467,0.182,0,0.0457,0,0,0,0.146,0,0.291,0.686,0
2248_Unstim,I11,0,0.0000050709,0,0,0,0,0.101,0.176,0.781,0.605,0.135,0.63,2.7,1.16,1.28,0,0.0248,0,0.517,0,2,2.43,0.00000038766598,0,0,0,0.212,0,0.0741,5.59,0,0,0,0,0,0,0,0,0.0381,0.0242,0
2248_Unstim,I12,0.284,0.741,0.459,0,0,0,3.12,0,0.0652,2.66,0.532,0.295,1.9,0.0182,0.0188,0,0,0.812,1.99,0.147,1.41,0.578,0.271,0,0.00194,0,0,0.0372,0.0813,5.14,0.237,0,0,0,0,0,0.163,0,0,0.305,0
